product_id,product_name,molecule,therapy_area,launch_date,mrp_inr,pack_size,is_new_launch,priority
PRD-CARD-01,Cardiolex,Atorvastatin,Cardio,2018-04-01,350,10,false,Maintain
PRD-CARD-02,Tensocor,Metoprolol,Cardio,2019-06-01,280,15,false,Maintain
PRD-CARD-03,Vasoclear,Rosuvastatin,Cardio,2024-09-15,680,10,true,Strategic
PRD-DIAB-01,Glucoflex,Metformin,Diabetes,2018-06-01,120,15,false,Maintain
PRD-DIAB-02,Insulinex,Glimepiride,Diabetes,2020-03-01,480,10,false,Growth
PRD-DIAB-03,Sugardown,Empagliflozin,Diabetes,2025-01-20,1250,10,true,Strategic
PRD-GI-01,Aciflux,Pantoprazole,GI,2017-08-01,90,15,false,Harvest
PRD-GI-02,Gutcalm,Ondansetron,GI,2021-02-01,220,10,false,Maintain
PRD-GI-03,Hepatone,Ursodeoxycholic Acid,GI,2024-11-05,540,10,true,Growth
PRD-RESP-01,Breathezy,Salbutamol,Respiratory,2018-01-01,150,30,false,Maintain
PRD-RESP-02,Pneumoclear,Montelukast,Respiratory,2020-09-01,320,10,false,Growth
PRD-RESP-03,Covishield-Cough,Dextromethorphan,Respiratory,2025-06-15,180,100,true,Growth
